Training:   0%|          | 0/10 [00:00<?, ?it/s]Training:  10%|█         | 1/10 [11:40<1:45:02, 700.28s/it]Training:  20%|██        | 2/10 [23:20<1:33:22, 700.35s/it]Training:  30%|███       | 3/10 [35:00<1:21:42, 700.29s/it]Training:  40%|████      | 4/10 [46:40<1:10:01, 700.20s/it]Training:  50%|█████     | 5/10 [58:20<58:19, 699.91s/it]  Training:  60%|██████    | 6/10 [1:09:59<46:38, 699.62s/it]Training:  70%|███████   | 7/10 [1:21:38<34:58, 699.44s/it]Training:  80%|████████  | 8/10 [1:33:17<23:18, 699.37s/it]Training:  90%|█████████ | 9/10 [1:44:56<11:39, 699.33s/it]Training: 100%|██████████| 10/10 [1:56:36<00:00, 699.40s/it]Training: 100%|██████████| 10/10 [1:56:36<00:00, 699.65s/it]
Epoch 1/10
Train Loss: 6.5247, Train Perplexity: 681.7884
Val Loss: 6.4924, Val Perplexity: 660.1365
Epoch 2/10
Train Loss: 6.4942, Train Perplexity: 661.3278
Val Loss: 6.4859, Val Perplexity: 655.8047
Epoch 3/10
Train Loss: 6.4884, Train Perplexity: 657.4385
Val Loss: 6.4797, Val Perplexity: 651.8019
Epoch 4/10
Train Loss: 6.4839, Train Perplexity: 654.5212
Val Loss: 6.4764, Val Perplexity: 649.6365
Epoch 5/10
Train Loss: 6.4830, Train Perplexity: 653.9035
Val Loss: 6.4777, Val Perplexity: 650.4716
Epoch 6/10
Train Loss: 6.4818, Train Perplexity: 653.1262
Val Loss: 6.4753, Val Perplexity: 648.8840
Epoch 7/10
Train Loss: 6.4800, Train Perplexity: 651.9401
Val Loss: 6.4739, Val Perplexity: 648.0222
Epoch 8/10
Train Loss: 6.4781, Train Perplexity: 650.7110
Val Loss: 6.4725, Val Perplexity: 647.0926
Epoch 9/10
Train Loss: 6.4774, Train Perplexity: 650.2769
Val Loss: 6.4725, Val Perplexity: 647.1003
Epoch 10/10
Train Loss: 6.4766, Train Perplexity: 649.7499
Val Loss: 6.4712, Val Perplexity: 646.2514
Generated Token: the, Perplexity: 3.7275
Generated Token: i, Perplexity: 22.9641
Generated Token: the, Perplexity: 4.5271
Generated Token: of, Perplexity: 12.1274
Generated Token: you, Perplexity: 25.4326
Generated Token: of, Perplexity: 10.8958
Generated Token: to, Perplexity: 10.5872
Generated Token: and, Perplexity: 11.8865
Generated Token: that, Perplexity: 32.8290
Generated Token: the, Perplexity: 4.5952
Generated Token: am, Perplexity: 37.7623
Generated Token: in, Perplexity: 30.4594
Generated Token: he, Perplexity: 30.3646
Generated Token: of, Perplexity: 15.8937
Generated Token: in, Perplexity: 30.3356
Generated Token: i, Perplexity: 27.7692
Generated Token: the, Perplexity: 4.5271
Generated Token: on, Perplexity: 100.5812
Generated Token: the, Perplexity: 2.5352
Generated Token: the, Perplexity: 4.4795
Generated Token: and, Perplexity: 11.9173
Generated Token: the, Perplexity: 4.0212
Generated Token: he, Perplexity: 28.3385
Generated Token: on, Perplexity: 101.0352
Generated Token: you, Perplexity: 30.1796
Generated Token: to, Perplexity: 8.5103
Generated Token: of, Perplexity: 12.1362
Generated Token: it, Perplexity: 53.3306
Generated Token: said, Perplexity: 45.2552
Generated Token: the, Perplexity: 4.9606
Generated Token: he, Perplexity: 28.3387
Generated Token: i, Perplexity: 32.4556
Generated Token: in, Perplexity: 31.5481
Generated Token: you, Perplexity: 36.3397
Generated Token: to, Perplexity: 8.5103
Generated Token: the, Perplexity: 3.8049
Generated Token: the, Perplexity: 4.4795
